judge,n_instances,fn_top1,fn_top3,fn_top10,median_latency_s,usd_per_instance,date
"gpt-5.3-codex (no-router, thinking=on)",29,0.8276,0.8276,0.931,40.47,0.059,2026-06-14
Kimi-K2.7-Code (thinking=on),29,0.8276,0.8621,0.8966,64.12,0.0295,2026-06-15
"gpt-5.5 (no-router, thinking=on)",29,0.8276,0.8966,0.931,66.2,0.1816,2026-06-14
GLM-5.2 (thinking=on),29,0.7931,0.8276,0.8966,14.86,0.019,2026-06-17
GLM-5.1 (thinking=on),29,0.7931,0.8276,0.8966,20.48,0.0227,2026-06-14
grok-45 (high_neutral),29,0.7931,0.8621,0.8966,32.89,0.0526,2026-07-09
grok-45 (high_coerce),29,0.7931,0.8966,0.8966,36.38,0.0564,2026-07-09
GLM-5.2 (effort=xhigh),29,0.7931,0.8621,0.8621,37.81,0.0546,2026-06-18
gpt-5.3-codex (no-router),29,0.7586,0.8621,0.8966,2.44,0.021,2026-06-14
grok-45 (effort=high),29,0.7586,0.8966,0.8966,2.48,0.015,2026-07-09
grok-45 (thinking=on),29,0.7586,0.8621,0.8966,2.56,0.0298,2026-07-09
qwen3.7-max (thinking=on),29,0.7586,0.8276,0.8621,37.25,0.0249,2026-06-14
gpt-5.5 (no-router),29,0.7241,0.8966,0.8966,2.81,0.0592,2026-06-14
